Date,H2,CH4,C2H4,C2H6,C2H2,Total 
12.17,1.48,0.51,0.16,0.31,0,0.98
12.18,1.64,0.46,0.13,0.16,0,0.75
12.19,1.56,0.54,0.14,0.12,0,0.8
12.20,3.6,0.47,0.16,0.17,0,0.8
12.23,1.64,0.67,0.24,0.17,0.06,1.14
12.24,2.88,0.49,0.21,0.19,0.07,0.96
12.25,1.68,0.81,0.28,0.16,0.09,1.34
12.26,1.25,0.74,0.32,0.18,0.12,1.36
12.27,1.5,0.69,0.33,0.15,0.13,1.3
12.28,1.04,0.66,0.32,0.16,0.13,1.27
12.29,1.8,0.75,0.35,0.16,0.13,1.39
12.30,1.42,0.7,0.36,0.16,0.13,1.35
12.31,1.59,0.74,0.4,0.24,0.13,1.51
1.01,1.65,0.69,0.37,0.2,0.13,1.39
1.02,1.65,0.72,0.4,0.18,0.13,1.43
1.03,1.43,0.76,0.45,0.2,0.13,1.54
1.04,1.78,0.77,0.49,0.2,0.15,1.61
1.05,3.46,0.74,0.54,0.38,0.17,1.83
1.06,1.5,0.84,0.53,0.18,0.17,1.72
1.07,1.77,0.86,0.54,0.24,0.17,1.81
1.08,1.71,0.9,0.53,0.19,0.17,1.79
1.09,1.76,0.91,0.59,0.26,0.18,1.94
1.10,1.62,0.92,0.56,0.17,0.18,1.83
1.11,1.63,0.92,0.59,0.2,0.19,1.9
1.12,1.66,0.9,0.6,0.18,0.19,1.87
1.13,1.63,0.96,0.62,0.17,0.19,1.94
1.14,1.49,0.99,0.63,0.22,0.19,2.03
1.15,1.3,0.95,0.65,0.23,0.19,2.02
1.16,1.32,0.95,0.67,0.22,0.2,2.04
1.17,1.45,0.98,0.69,0.23,0.2,2.1
1.17,2.71,0.93,0.68,0.17,0.23,2.01
1.18,1.36,0.96,0.76,0.22,0.22,2.16
1.19,1.42,1.04,0.78,0.24,0.23,2.29
1.20,1.12,1.06,0.8,0.24,0.24,2.34
1.21,1.2,1.04,0.83,0.23,0.24,2.34
1.22,1.56,1.03,0.85,0.25,0.24,2.37
1.23,1.38,1.02,0.86,0.23,0.24,2.35
1.24,1.04,1.07,0.89,0.27,0.26,2.49
1.25,1.08,1.17,0.92,0.26,0.26,2.61
1.26,1.27,1.15,0.95,0.28,0.28,2.66
1.27,1.47,1.17,0.98,0.31,0.3,2.76
1.28,1.15,1.14,0.99,0.28,0.3,2.71
